IPDB_ID	Genus_species_locus	ABGD_Genus_species_locus
Acanthaster_planciPac_CR_NOL3310.02	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KIN32	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Palau35	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SSU3577.07	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MOR30	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_Johnston Atoll05	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_YAP1329.06	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KAU10	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_SWA05	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_RM-100	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_JAP1_11	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HW17	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_M74	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KAU03	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_JAV1987.03	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T3-252	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T3-244	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_YAP3182.06	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_TEL3255.13	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MH-65	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MH-67	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_HE76	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MV-56	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_MAN2267.04	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KAU13	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_NOL3310.09	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_T1-188	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_LAN06	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_RAJ2595.05	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KAU11	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
Acanthaster_planciPac_CR_KIN40	Acanthaster_planciPac_CR	Acanthaster_planciPac_CR_abgd_group1
